,class,title,date,url
0,AI학부 공지사항,2023학년도 정보통신대전(공학제) 학생작품경진대회 안내,23/09/20,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=456780&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
1,AI학부 공지사항,2023학년도 2학기 사물함 신청 안내,23/09/04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455920&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
2,AI학부 공지사항,2023-2학기 유고결석 처리 안내,23/08/22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455122&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
3,AI학부 공지사항,"2023학년도 제2학기 부·복수(융복합)전공 및 마이크로전공 신청, ..",23/10/13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457700&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
4,AI학부 공지사항,[경산시청소년상담복지센터] 2023년 경산시청소년지원센터 꿈드림 ..,23/10/12,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457639&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
5,AI학부 공지사항,[취업/대학일자리플러스센터] 중견·대기업 사원증 목에 걸기 한달 ..,23/10/11,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457584&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
6,AI학부 공지사항,삼성 청년 SW 아카데미(SSAFY) 11기 모집,23/10/11,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457532&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
7,AI학부 공지사항,2023년 제4차 평생교육사 자격증 발급 신청 안내 < ~10/20(금) 까지..,23/10/10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457436&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
8,AI학부 공지사항,제23회 대학생 프로그래밍 경시대회 개최 안내,23/09/27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=457165&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
9,AI학부 공지사항,2023 오픈데이터포럼 해커톤 모집을 위한 홍보 안내..,23/09/19,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=456705&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
10,AI학부 공지사항,2023년 고속도로장학재단 장학생 선발 안내,23/09/14,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=456548&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
11,AI학부 공지사항,2023 DU JOB GREAT FESTIVAL 안내,23/09/01,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455804&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
12,AI학부 공지사항,2023학년도 2학기 장학재단 장학생 선발 안내,23/08/31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455773&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
13,AI학부 공지사항,2023학년도 제2학기 캡스톤디자인 과제 지원사업 안내..,23/08/31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455697&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
14,AI학부 공지사항,2023학년도 제2학기 조기졸업 신청 안내,23/08/29,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455498&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
15,AI학부 공지사항,2023학년도 2학기 수강포기 실시 안내,23/08/24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455322&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
16,AI학부 공지사항,[대학혁신] 2023학년도 2학기 영어클리닉 실시 안내..,23/08/24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455301&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
17,AI학부 공지사항,2023학년도 2학기 공통교양 영어교과목 이수면제 신청 안내..,23/08/23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455203&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
